"","date","open","high","low","close","volume","Name","pivot_point","support_1","resistance_1","support_2","resistance_2","resistance_3","support_3","price_difference","R1","R2","R3","R4","R5","S1","S2","S3","S4","S5","ema","rsi"
"1377","2011-08-08 00:00:00+05:30",10121.4,10481.5,10072.45,10232.29,0,"NIFTY BANK",10299.0133333333,10205.78,10447.74,10057.05,10540.97,10782.93,9815.09,241.959999999999,10356.12,10391.44,10419.99,10448.54,10540.97,10241.91,10206.58,10178.03,10149.48,10057.05,10668.7320944465,23.5665702469244
"1378","2011-08-09 00:00:00+05:30",9952.2,10424.25,9920.79,10196.54,0,"NIFTY BANK",10262.08,10042.66,10451.71,9853.03,10671.13,11080.18,9443.98,409.049999999999,10358.62,10418.34,10466.6,10514.87,10671.13,10165.54,10105.82,10057.56,10009.29,9853.03,10582.8789863654,22.847067133492
"1379","2011-08-10 00:00:00+05:30",10516.45,10516.45,10393.7,10463.2,0,"NIFTY BANK",10180.5266666667,9936.8,10440.26,9677.07,10683.99,11187.45,9173.61,503.459999999999,10299.34,10372.85,10432.26,10491.66,10683.99,10061.71,9988.2,9928.8,9869.39,9677.07,10561.1191706626,38.4270099243683
"1380","2011-08-11 00:00:00+05:30",10419.4,10516.9,10323.5,10338.79,0,"NIFTY BANK",10457.7833333333,10399.12,10521.87,10335.03,10580.53,10703.28,10212.28,122.75,10486.75,10504.67,10519.16,10533.64,10580.53,10428.81,10410.89,10396.41,10381.92,10335.03,10520.6956850876,34.7856132687589
"1381","2011-08-12 00:00:00+05:30",10469.15,10469.15,10131.65,10182.7,0,"NIFTY BANK",10393.0633333333,10269.23,10462.63,10199.66,10586.46,10779.86,10006.26,193.4,10438.71,10466.94,10489.76,10512.58,10586.46,10347.42,10319.18,10296.36,10273.54,10199.66,10459.2419241625,30.7265775995573
"1382","2011-08-16 00:00:00+05:30",10315.1,10315.1,10023,10056.4,0,"NIFTY BANK",10261.1666666667,10053.18,10390.68,9923.67,10598.67,10936.17,9586.17,337.5,10340.82,10390.09,10429.92,10469.74,10598.67,10181.52,10132.24,10092.42,10052.59,9923.67,10385.9979379512,27.809170723719
"1383","2011-08-17 00:00:00+05:30",10050,10173.1,9869.75,9953.2,0,"NIFTY BANK",10131.5,9947.9,10240,9839.4,10423.6,10715.7,9547.3,292.1,10200.44,10243.08,10277.55,10312.02,10423.6,10062.56,10019.92,9985.45,9950.98,9839.4,10307.3074037782,25.602212336741
"1384","2011-08-18 00:00:00+05:30",9987.6,10002.29,9564.95,9601.5,0,"NIFTY BANK",9998.68333333333,9824.27,10127.62,9695.33,10302.03,10605.38,9391.98,303.35,10070.27,10114.56,10150.36,10186.15,10302.03,9927.09,9882.8,9847.01,9811.21,9695.33,10178.9787849095,19.6863142775553
"1385","2011-08-19 00:00:00+05:30",9452.7,9587.7,9280.25,9404.85,0,"NIFTY BANK",9722.91333333333,9443.54,9880.88,9285.57,10160.25,10597.59,8848.23,437.34,9826.13,9889.98,9941.58,9993.19,10160.25,9619.7,9555.85,9504.24,9452.64,9285.57,10038.2280967441,17.2149934892834
"1386","2011-08-22 00:00:00+05:30",9422.65,9466.1,9224.95,9407.35,0,"NIFTY BANK",9424.26666666667,9260.83,9568.28,9116.82,9731.72,10039.17,8809.37,307.450000000001,9496.82,9541.71,9577.99,9614.27,9731.72,9351.71,9306.82,9270.54,9234.26,9116.82,9923.52298824517,17.3615315758723
"1387","2011-08-23 00:00:00+05:30",9474.04,9523,9303.35,9488.7,0,"NIFTY BANK",9366.13333333333,9266.17,9507.32,9124.98,9607.28,9848.43,8883.83,241.15,9423.04,9458.25,9486.71,9515.16,9607.28,9309.22,9274.01,9245.56,9217.1,9124.98,9844.46426310969,22.332200840298
"1388","2011-08-24 00:00:00+05:30",9453.04,9561.9,9275.15,9331.85,0,"NIFTY BANK",9438.35,9353.7,9573.35,9218.7,9658,9877.65,8999.05,219.65,9490.19,9522.26,9548.17,9574.09,9658,9386.51,9354.44,9328.53,9302.61,9218.7,9751.26166981702,19.7829731588964
"1389","2011-08-25 00:00:00+05:30",9393.35,9401.15,9134.95,9177.25,0,"NIFTY BANK",9389.63333333333,9217.37,9504.12,9102.88,9676.38,9963.13,8816.13,286.75,9457.31,9499.17,9533.01,9566.84,9676.38,9321.96,9280.09,9246.26,9212.42,9102.88,9646.89591166847,17.5846421197323
"1390","2011-08-26 00:00:00+05:30",9186.4,9217.7,8917.95,8974.54,0,"NIFTY BANK",9237.78333333333,9074.42,9340.62,8971.58,9503.98,9770.18,8705.38,266.199999999999,9300.61,9339.47,9370.88,9402.29,9503.98,9174.96,9136.09,9104.68,9073.27,8971.58,9524.6493822742,15.1344926860657
